,country,ctyname,ptyid,ptyname,CPARTY,valueinf,routinization,polar,enpp,subsid,execoff,legisoff,formation,group,page,zpolar,zenpp,zsubsid,zexecoff,zlegisoff,zformation,zgroup,zpage,formal,informal,loyalty,formal_uncertain,inform_uncertain,value_uncertain,dependency,dominant,experience,president,coalition,gdppc,regime,volat,seatshare_t2,president_t2,partyinst_t1,routinization_t1,valueinf_t1,seatshare_t1,incumbent_t2
30,14,COL,1405,Polo Democratico Alternativa,COL_ Alternative Democratic Polo Party,0.636363626,0.689393938,3.899597168,5.724240763,1.386294365,0,4.819277108,0.150000006,0.692307711,1.098612309,-0.012221974,0.725493908,-0.450579971,-0.886204123,-0.896611035,-0.770770729,1.664864302,-1.650280952,0.606060624,0.772727251,0.636363626,0.042640146,0.082572281,0.11009638,0.708333313,0,0,0,0,3311.241053,51,30.01824658,2.43902439,0,0.662878752,0.689393938,0.636363626,4.819277287,0
31,14,COL,1406,Convergencia Ciudadana,COL_ Citizen Option Party,0.400000006,0.216666669,3.899597168,5.724240763,2.484906673,0,4.819277108,0.150000006,0.07692308,2.397895336,-0.012221974,0.725493908,0.420974761,-0.886204123,-0.896611035,-0.770770729,-0.730759084,-0.556581497,0.333333343,0.100000001,0.400000006,0.117851131,0.111803398,0.182574183,0.428571433,0,6.494444444,0,2.014162064,3311.241053,51,30.01824658,7.317073171,0,0.308333337,0.216666669,0.400000006,4.819277287,0
27,14,COL,1402,Partido Social Conservador Colombiano,COL_ Colombian Conservative Party,0.861111104,0.819444418,3.899597168,5.724240763,3.178053856,1.609437943,18.07228916,0.400000006,0.230769232,5.0689044,-0.012221974,0.725493908,0.970864594,0.553742409,-0.063529506,0.068267204,-0.131853238,1.691797733,0.805555582,0.833333313,0.861111104,0.051752273,0.074226961,0.051752273,0.666666687,0,26.78611111,4,3.169101954,3311.241053,51,30.01824658,23.17073171,0,0.840277791,0.819444418,0.861111104,18.07228851,0
26,14,COL,1401,Partido Liberal Colombiano,COL_ Colombian Liberal Party,0.805555582,0.909722209,3.899597168,5.724240763,3.178053856,2.833213329,21.08433735,0.400000006,0.07692308,5.075173855,-0.012221974,0.725493908,0.970864594,1.648640871,0.125807241,0.068267204,-0.730759084,1.697075248,0.861111104,0.958333313,0.805555582,0.051752273,0.043519415,0.067192599,0.666666687,1,24.35,16,2.235376358,3311.241053,51,30.01824658,22.56097561,0,0.857638896,0.909722209,0.805555582,21.08433723,0
28,14,COL,1403,Partido de la Unidad,COL_ National Unity Social Party / Party of the U,0.393939406,0.530303001,3.899597168,5.724240763,1.386294365,2.001480103,17.46987952,0.150000006,0.07692308,1.098612309,-0.012221974,0.725493908,-0.450579971,0.904498219,-0.101396836,-0.770770729,-0.730759084,-1.650280952,0.515151501,0.545454562,0.393939406,0.072474308,0.047673129,0.103474975,0.625,0,6.494444444,6.4,0.090246879,3311.241053,51,30.01824658,28.65853659,1,0.462121189,0.530303001,0.393939406,17.46987915,1
29,14,COL,1404,Movimiento Cambio Radical,COL_ Radical Change Party,0.454545468,0.517424226,3.899597168,5.724240763,2.397895336,0,12.04819277,0.150000006,0.07692308,2.302585125,-0.012221974,0.725493908,0.351946652,-0.886204123,-0.442202896,-0.770770729,-0.730759084,-0.636810899,0.484848499,0.550000012,0.454545468,0.072474308,0.052704629,0.108245887,0.600000024,0,6.494444444,0,2.014162064,3311.241053,51,30.01824658,9.146341463,0,0.485984862,0.517424226,0.454545468,12.04819298,0
33,15,CRI,1501,Partido Accion Ciudadana,CRI_ Citizens Action Party,0.288888901,0.558823526,4.166409969,3.38421794,2.197224617,0,29.8245614,0,0.555555582,2.079441547,0.075490676,-0.567362547,0.192749888,-0.886204123,0.67521596,-1.274193525,1.132503629,-0.824646831,0.450980395,0.666666687,0.288888901,0.083026394,0.05882353,0.07428164,0.638888896,0,0,0,0,4607.707652,89,23.04093567,19.29824561,0,0.423856199,0.558823526,0.288888901,29.82456207,0
35,15,CRI,1503,Movimiento Libertario,CRI_ Libertarian Movement Party,0.333333343,0.40196079,4.166409969,3.38421794,2.708050251,0,10.52631579,0,0,2.639057398,0.075490676,-0.567362547,0.597999752,-0.886204123,-0.537867785,-1.274193525,-1.030212045,-0.35357815,0.333333343,0.470588237,0.333333343,0.077951193,0.082331605,0.089087084,0.361111104,0,6.747222222,0,2.047334433,4607.707652,89,23.04093567,15.78947368,0,0.367647052,0.40196079,0.333333343,10.52631569,0
34,15,CRI,1502,Partido Liberacion Nacional,CRI_ National Liberation Party,0.958333313,0.772058845,4.166409969,3.38421794,3.970291853,2.750293493,43.85964912,0,0.055555556,4.043051243,0.075490676,-0.567362547,1.599365473,1.574453354,1.557458639,-1.274193525,-0.813940406,0.828263819,0.627451003,0.916666687,0.958333313,0.087808743,0.046504084,0.029397236,0.555555582,0,14.86388889,14.64722222,0.196114883,4607.707652,89,23.04093567,40.35087719,1,0.865196109,0.772058845,0.958333313,43.85964966,1
36,15,CRI,1504,Partido Unidad Social Cristiana,CRI_ Social Christian Unity Party,0.933333337,0.635620952,4.166409969,3.38421794,3.465735912,2.564949274,8.771929825,0,0.055555556,3.433987141,0.075490676,-0.567362547,1.199089527,1.408627868,-0.648148119,-1.274193525,-0.813940406,0.31557104,0.549019635,0.722222209,0.933333337,0.088099025,0.074664444,0.049943279,0.527777791,0,14.86388889,12,1.351674199,4607.707652,89,23.04093567,10.52631579,0,0.784477115,0.635620952,0.933333337,8.771929741,0
81,25,RDO,2503,Partido de la Liberacion Dominicana,DOM_ Dominican Liberation Party,0.866666675,0.816666663,0.420324355,2.493532973,2.484906673,2.238046646,53.93258427,0.649999976,0.200000003,3.555348158,-1.156006098,-1.059463739,0.420974761,1.11615169,2.190641165,0.907305062,-0.251634389,0.417729259,0.733333349,0.899999976,0.866666675,0.217306748,0.111803398,0.091287084,0.699999988,0,8.497222222,8.375,0.115310848,3658.958286,12,22.0931981,57.37704918,1,0.841666698,0.816666663,0.866666675,53.93258286,1
79,25,RDO,2501,Partido Revolucionario Dominicana,DOM_ Modern Revolutionary Party,0.800000012,0.850000024,0.420324355,2.493532973,2.484906673,2.555934429,33.70786517,0.949999988,0.400000006,4.234106541,-1.156006098,-1.059463739,0.420974761,1.400562406,0.919319689,1.914150596,0.526943207,0.989088714,0.800000012,0.899999976,0.800000012,0.149071202,0.111803398,0.149071202,0.699999988,0,12.175,11.88333333,0.255933374,3658.958286,12,22.0931981,40.98360656,0,0.825000048,0.850000024,0.800000012,33.70786667,0
80,25,RDO,2502,Partido Reformista Social Cristiano,DOM_ Social Christian Reformist Party,0.866666675,0.6875,0.420324355,2.493532973,2.484906673,2.397895336,12.35955056,0.560000002,0.600000024,3.80666256,-1.156006098,-1.059463739,0.420974761,1.259166598,-0.422631025,0.605251491,1.305520892,0.629278541,0.75,0.625,0.866666675,0.184256941,0.144337565,0.091287084,0.600000024,1,10.14722222,10,0.137343556,3658.958286,12,22.0931981,1.639344262,0,0.777083337,0.6875,0.866666675,12.35955048,0
39,16,ECU,1603,Partido Roldosista Ecuatoriano,ECU_ Fuerza Ecuador,0.738095224,0.548611164,3.252504826,6.122335202,3.295836926,0.409161955,6,0.079999998,0.142857149,3.258096457,-0.2249486,0.945440114,1.06430459,-0.520131409,-0.822391033,-1.005701423,-0.474085122,0.167511269,0.555555582,0.541666687,0.738095224,0.06546203,0.043519415,0.074124932,0.192307696,0,2.247222222,0.505555556,1.008566022,2873.150369,8,31.07736343,2.4,0,0.643353224,0.548611164,0.738095224,6,0
42,16,ECU,1606,Parido Sociedad Patriotico,ECU_ January 21 Patriotic Society Party,0.538461566,0.569444418,3.252504826,6.122335202,2.197224617,1.182919383,24,0.200000003,0.071428575,2.079441547,-0.2249486,0.945440114,0.192749888,0.172140896,0.30908519,-0.60296315,-0.752148569,-0.824646831,0.555555582,0.583333313,0.538461566,0.098969281,0.108203456,0.114789538,0.230769232,0,2.294444444,2.263888889,0.03009803,2873.150369,8,31.07736343,15.2,0,0.553952992,0.569444418,0.538461566,24,0
40,16,ECU,1604,Movimiento Unidad Plurinacional Pachakutik,ECU_ Pachakutik Plurinational Unity Movement - New Country,0.642857134,0.544871807,3.252504826,6.122335202,2.639057398,0,6,0.059999999,0.857142866,2.564949274,-0.2249486,0.945440114,0.543266118,-0.886204123,-0.822391033,-1.072824478,2.306549072,-0.415960252,0.512820542,0.576923072,0.642857134,0.063530207,0.054203637,0.084765106,0.416666657,0,4.316666667,0,1.670846581,2873.150369,8,31.07736343,3.2,0,0.593864441,0.544871807,0.642857134,6,0
38,16,ECU,1602,Izquierda Democratica,ECU_ Party of the Democratic Left,0.794871807,0.671474338,3.252504826,6.122335202,3.433987141,0,7,0.649999976,0.214285716,3.637586117,-0.2249486,0.945440114,1.173902392,-0.886204123,-0.75953126,0.907305062,-0.196021706,0.486954838,0.717948735,0.625,0.794871807,0.066273771,0.06818182,0.083688699,0.192307696,0,9.319444444,0,2.334029913,2873.150369,8,31.07736343,2.4,0,0.733173072,0.671474338,0.794871807,7,0
